cwe,type
NVD-CWE-noinfo,绕过
CWE-401,拒绝服务
CWE-77,拒绝服务
CWE-22,目录遍历
CWE-120,执行代码
CWE-367,执行代码
CWE-772,拒绝服务
CWE-415,拒绝服务
CWE-787,拒绝服务
CWE-20,拒绝服务
NVD-CWE-Other,执行代码
CWE-670,拒绝服务
CWE-400,拒绝服务
CWE-119,执行代码
CWE-665,拒绝服务
CWE-399,拒绝服务
CWE-352,执行代码
CWE-667,拒绝服务
CWE-269,获取权限
CWE-476,拒绝服务
CWE-347,执行代码
CWE-78,执行代码
CWE-200,获取信息
CWE-770,拒绝服务
CWE-287,绕过
CWE-125,拒绝服务
CWE-436,拒绝服务
CWE-345,拒绝服务
CWE-613,拒绝服务
CWE-863,绕过
CWE-755,拒绝服务
CWE-617,拒绝服务
CWE-126,拒绝服务
CWE-502,执行代码
CWE-540,获取信息
CWE-275,获取信息
CWE-284,执行代码
CWE-121,拒绝服务
CWE-1076,拒绝服务
CWE-472,执行代码
CWE-36,目录遍历
CWE-79,执行代码
CWE-404,拒绝服务
CWE-1188,获取权限
CWE-88,执行代码
CWE-116,拒绝服务
CWE-295,绕过
CWE-732,执行代码
CWE-311,获取信息
CWE-754,拒绝服务
CWE-203,拒绝服务
CWE-190,拒绝服务
CWE-704,拒绝服务
CWE-94,执行代码
CWE-522,获取信息
CWE-862,获取权限
CWE-798,执行代码
CWE-74,执行代码
CWE-134,执行代码
CWE-1021,获取信息
CWE-312,获取信息
CWE-371,拒绝服务
CWE-824,拒绝服务
CWE-327,获取权限
CWE-913,拒绝服务
CWE-191,拒绝服务
CWE-388,拒绝服务
CWE-693,绕过
CWE-254,绕过
CWE-264,获取信息
CWE-89,执行代码
